175
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,FPhases,NumCells,NumNeighbors,SurfaceFeatures,Volumes
1,-0.129112,-0.114232,-0.558924,-0.811101,10.5165,1.32769,0.346515,6.16223,1,609,5,1,609
2,-0.126136,0.362741,-0.364701,-0.848234,19.3474,5.4531,0.788349,1.6422,1,3792,13,1,3792
3,0.189006,0.0533152,0.847087,0.493839,18.9125,1.31792,0.395333,0.768044,1,3542,10,1,3542
4,0.309614,0.113654,0.662843,0.672206,16.2746,1.1302,0.672215,0.426572,1,2257,9,1,2257
5,0.263371,-0.0230185,-0.834863,-0.482814,14.1199,4.10089,0.535111,4.27524,1,1474,6,1,1474
6,0.367984,-0.127188,0.70435,0.59355,17.1735,0.537779,0.79984,1.20334,1,2652,13,1,2652
7,0.199917,0.25187,-0.371886,-0.870802,16.2698,4.4451,0.654767,2.64532,1,2255,12,1,2255
8,0.379235,-0.0227428,-0.405573,-0.831369,15.2254,3.53556,0.779412,3.65536,1,1848,9,1,1848
9,0.172776,-0.173348,-0.859815,-0.448126,15.8477,3.44488,0.494518,5.01899,1,2084,8,1,2084
10,0.204274,-0.144283,-0.582389,-0.773484,19.8851,3.17202,0.505548,4.40193,1,4117,22,1,4117
11,0.1902,0.0536519,0.657147,0.727395,19.8803,1.00964,0.397863,0.459766,1,4114,17,1,4114
12,-0.0183448,-0.462793,-0.724254,-0.510825,19.2276,2.48769,0.963106,5.70852,1,3722,8,1,3722
13,-0.0978252,0.217479,-0.437107,-0.86722,15.5454,5.60196,0.481576,1.61497,1,1967,10,1,1967
14,0.0820184,-0.441099,-0.627294,-0.636559,17.9752,2.53271,0.93053,5.30661,1,3041,9,1,3041
15,-0.038081,0.0982044,-0.529088,-0.842004,18.112,5.64333,0.21105,1.76189,1,3111,19,1,3111
16,0.338908,-0.0974343,0.593598,0.723387,19.8931,0.407221,0.720774,0.96711,1,4122,15,1,4122
17,0.0222614,-0.440998,-0.566795,-0.695535,16.8119,2.305,0.914673,5.34572,1,2488,11,1,2488
18,-0.00771215,-0.235093,-0.793754,-0.560915,17.3381,2.49362,0.47489,5.7008,1,2729,10,1,2729
19,-0.00772427,0.0677999,-0.860084,-0.505568,19.6587,5.86521,0.136583,2.49674,1,3978,16,1,3978
20,0.14281,0.157568,-0.441189,-0.871854,12.7647,4.44455,0.428584,2.77557,1,1089,6,1,1089
21,0.142444,0.33727,-0.763227,-0.532394,15.9008,5.27448,0.749665,2.93213,1,2105,13,1,2105
22,0.380998,0.0967245,-0.778681,-0.48902,19.378,4.40025,0.807967,3.90301,1,3810,8,1,3810
23,-0.219286,-0.204463,-0.606284,-0.736565,20.2285,1.43912,0.609006,6.22143,1,4334,22,1,4334
24,0.0991825,-0.0986023,0.725432,0.673935,16.6205,0.0397167,0.280631,1.60465,1,2404,12,1,2404
25,-0.127832,0.367619,-0.676242,-0.625469,19.4388,5.87142,0.79955,2.06053,1,3846,15,1,3846
26,-0.0373909,-0.320783,-0.380504,-0.866554,19.4102,1.86851,0.6577,5.24218,1,3829,17,1,3829
27,-0.0675161,-0.292389,-0.425331,-0.853841,16.6573,1.80602,0.609558,5.40148,1,2420,10,1,2420
28,0.364931,-0.0665756,0.408057,0.834196,17.0386,0.274491,0.760073,0.635388,1,2590,11,1,2590
29,-0.0075862,0.423996,-0.468162,-0.775239,14.5745,5.27356,0.875856,2.09618,1,1621,7,1,1621
30,0.0822388,0.396491,-0.726124,-0.555676,16.7327,5.42547,0.833805,2.69291,1,2453,10,1,2453
31,0.0992788,-0.0376917,0.698363,0.707822,15.6605,0.415826,0.212787,1.14152,1,2011,8,1,2011
32,0.30944,-0.00711135,0.570403,0.760813,15.6656,0.620349,0.629381,0.666304,1,2013,11,1,2013
33,0.0527662,0.248992,-0.546561,-0.797803,15.7354,5.1042,0.514706,2.38027,1,2040,12,1,2040
34,0.291209,-0.232014,-0.807255,-0.457937,21.5375,3.52364,0.763046,4.86912,1,5231,18,1,5231
35,0.0819696,-0.618152,-0.769989,-0.135223,17.8542,3.39026,0.15065,4.97191,1,2980,12,0,2980
36,0.232568,-0.293194,-0.554108,-0.743582,17.9535,2.88181,0.767141,4.68221,1,3030,15,1,3030
37,0.0529229,-0.0535002,-0.859702,-0.505223,18.2507,4.05659,0.453916,3.16205,1,3183,17,0,3183
38,0.0829947,-0.144034,-0.485904,-0.858058,13.2681,2.6088,0.334019,4.7049,1,1223,5,1,1223
39,0.23295,0.0672405,-0.860259,-0.448518,19.9076,4.5128,0.489802,3.95078,1,4131,15,1,4131
40,-0.0672048,0.364702,-0.828213,-0.420166,18.0007,5.99593,0.759832,2.48988,1,3054,10,1,3054
41,-0.038104,-0.144688,-0.561481,-0.81385,13.2319,1.91721,0.30037,5.57382,1,1213,7,1,1213
42,0.0223609,-0.382965,-0.55145,-0.74077,16.4482,2.26904,0.78742,5.29399,1,2330,10,1,2330
43,-0.0677057,0.36742,-0.554283,-0.743767,20.2921,5.53506,0.765788,2.02901,1,4375,19,1,4375
44,0.0522803,-0.412312,-0.69603,-0.585499,22.3019,2.56836,0.857233,5.4577,1,5808,22,1,5808
45,0.233673,-0.234248,-0.720615,-0.609293,17.4893,3.22388,0.674452,4.79713,1,2801,17,1,2801
46,0.278311,-0.157449,0.799647,0.508249,17.3593,0.489777,0.650955,1.51946,1,2739,13,1,2739
47,-0.00768014,0.188026,-0.869491,-0.456697,16.3512,5.84037,0.378623,2.61713,1,2289,11,1,2289
48,0.0828089,-0.204039,-0.478633,-0.849954,17.7477,2.4692,0.444044,4.83972,1,2927,15,1,2927
49,-0.128382,0.308853,-0.630616,-0.700322,20.1958,5.83941,0.682093,1.90992,1,4313,19,1,4313
50,0.0824396,0.097165,-0.91471,-0.383495,14.2559,5.1826,0.255546,3.44819,1,1517,8,1,1517
51,0.380519,0.0368916,-0.804163,-0.455154,20.3553,4.294,0.784575,4.1007,1,4416,12,1,4416
52,0.159581,-0.0375262,0.804466,0.57093,17.5349,0.722631,0.329355,1.18455,1,2823,14,1,2823
53,0.203559,0.0976457,-0.842272,-0.489496,14.7785,4.63321,0.455462,3.73867,1,1690,13,1,1690
54,0.279518,0.0230851,0.784845,0.552589,19.6059,1.03974,0.568568,0.87494,1,3946,14,1,3946
55,0.0830889,0.279526,-0.701463,-0.650317,14.8596,5.24667,0.591827,2.68294,1,1718,8,1,1718
56,0.277566,0.0829078,0.850193,0.439607,17.4392,1.38385,0.587793,0.803329,1,2777,9,1,2777
57,0.174278,0.128485,-0.587961,-0.779372,19.3082,4.42319,0.436499,3.15262,1,3769,13,1,3769
58,0.189926,0.114305,0.743258,0.631214,20.7619,1.40851,0.447052,0.324965,1,4686,18,1,4686
59,0.293427,0.127534,-0.533046,-0.783261,17.4266,4.14915,0.651341,3.32914,1,2771,4,1,2771
60,0.230981,-0.231549,-0.859878,-0.391973,14.5234,3.49806,0.666378,5.07131,1,1604,7,1,1604
61,0.353818,-0.0531493,-0.685261,-0.634354,18.1797,3.81645,0.731796,4.11465,1,3146,14,1,3146
62,-0.128936,-0.235294,-0.645277,-0.715283,13.8165,1.80349,0.543267,5.94767,1,1381,6,1,1381
63,0.338606,-0.157519,0.680875,0.630034,16.7667,0.388741,0.765454,1.25958,1,2468,8,1,2468
64,0.142757,-0.0229943,-0.409916,-0.900589,20.2549,3.40903,0.290212,3.72843,1,4351,20,1,4351
65,0.250388,0.0535171,0.678816,0.688223,20.0828,0.989086,0.517854,0.567949,1,4241,18,1,4241
66,0.247235,-0.186763,0.845299,0.435276,18.616,0.448318,0.630065,1.74222,1,3378,16,1,3378
67,0.067996,0.0532077,0.900135,0.426969,12.6104,1.79187,0.172894,0.4639,1,1050,7,1,1050
68,-0.0672475,0.424585,-0.502369,-0.750221,17.5494,5.45952,0.888713,2.00377,1,2830,15,1,2830
69,0.142726,-0.323764,-0.559625,-0.749417,21.5622,2.62742,0.72332,4.9386,1,5249,14,1,5249
70,0.402439,-0.033919,0.439271,0.802454,16.3058,0.416768,0.831477,0.584937,1,2270,8,1,2270
71,0.234423,-0.113933,-0.580461,-0.771446,14.5745,3.33425,0.527377,4.23905,1,1621,9,1,1621
72,0.112515,-0.17317,-0.886162,-0.414812,17.7699,3.27998,0.416019,5.26919,1,2938,10,1,2938
73,0.173038,-0.294084,-0.744808,-0.573439,19.3236,3.01731,0.696418,5.09522,1,3778,9,1,3778
74,0.174496,0.128646,-0.744047,-0.631978,16.7236,4.64354,0.437053,3.37297,1,2449,10,1,2449
75,0.141851,-0.381563,-0.509605,-0.758018,16.9681,2.51861,0.838503,4.94834,1,2558,18,1,2558
76,0.219164,0.0835103,0.513777,0.825244,14.0558,0.92091,0.473481,0.192798,1,1454,12,1,1454
77,-0.0676322,0.30703,-0.460735,-0.829989,14.874,5.43596,0.639629,1.86074,1,1723,7,1,1723
