167
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,FPhases,NumCells,NumNeighbors,SurfaceFeatures,Volumes
1,0.712218,0.637208,-0.250141,-0.155372,18.3041,4.88644,2.5438,3.4267,1,3211,8,1,3211
2,-0.576154,-0.804734,-0.11344,-0.0870666,16.7054,1.86562,2.85461,6.24992,1,2441,9,1,2441
3,-0.540261,-0.829152,-0.0829102,-0.117266,16.3536,1.60873,2.85336,5.9053,1,2290,11,1,2290
4,-0.380976,-0.906258,-0.14188,-0.115865,18.7056,2.05883,2.77315,5.99634,1,3427,19,0,3427
5,-0.842647,-0.410746,0.127298,-0.324083,15.548,0.0792761,2.43032,5.45535,1,1968,12,1,1968
6,0.569946,0.735919,0.0220191,-0.364828,19.1446,3.99313,2.39327,2.16949,1,3674,17,1,3674
7,0.454594,0.861699,-0.0682758,-0.214841,14.3863,4.53464,2.68683,2.36395,1,1559,8,1,1559
8,-0.380976,-0.906258,-0.14188,-0.115865,16.134,3.51748,2.49737,2.23904,1,2199,12,0,2199
9,0.491669,0.776287,-0.366732,0.145426,18.6728,6.09612,2.33052,4.08371,1,3409,16,1,3409
10,0.469441,0.81468,-0.307685,0.145778,22.9944,6.20289,2.44676,4.10681,1,6366,14,1,6366
11,-0.476808,-0.74185,-0.0184461,-0.471139,17.6399,1.03868,2.15961,5.32277,1,2874,9,1,2874
12,0.616898,0.662438,-0.0379579,-0.423286,18.1701,4.05201,2.2637,2.41005,1,3141,15,1,3141
13,0.552738,0.717843,0.0219038,-0.422733,14.4292,4.00444,2.26742,2.17521,1,1573,7,1,1573
14,-0.54427,-0.708945,0.067638,-0.443387,14.2056,0.76467,2.21138,5.21575,1,1501,7,1,1501
15,0.606295,0.651689,-0.455732,-0.00403946,18.9817,5.52499,2.19516,3.88206,1,3581,15,1,3581
16,0.820396,0.504475,0.202965,0.176805,18.9197,1.40549,2.59652,0.302859,1,3546,12,1,3546
17,-0.818587,-0.560928,0.0385182,-0.117437,17.0408,0.283815,2.89377,5.3655,1,2591,6,1,2591
18,0.68668,0.672162,-0.00810673,-0.276772,18.1275,3.94559,2.58048,2.39616,1,3119,11,1,3119
19,0.573241,0.801624,-0.15996,0.0566244,13.7898,6.00262,2.80057,4.10261,1,1373,5,1,1373
