21
#time=1
grain_id phi1 Phi phi2
0 182.612000 63.844700 176.131200
1 209.840100 107.646200 165.994500
2 215.887100 97.489900 227.350200
3 229.657000 82.708200 101.276000
4 301.939000 88.194800 56.855000
5 192.368300 74.187700 175.043200
6 161.107100 115.420600 157.074100
7 270.705900 73.444600 123.262100
8 78.171500 179.999800 55.950100
9 192.578600 46.921800 192.717200
10 302.378500 73.450900 52.253300
11 186.971600 110.560800 152.805600
12 136.708900 89.366500 182.113500
13 180.364200 108.502200 171.828900
14 166.251700 58.646800 180.566500
15 283.365400 116.229100 121.946600
16 243.770600 45.300300 77.530900
17 237.665800 111.029500 76.838800
18 72.097600 179.999800 42.495200
19 231.299600 116.301800 41.452800
20 67.070400 179.999800 97.972900
