23
#time=1
grain_id phi1 Phi phi2
0 215.887100 97.489900 227.350200
1 196.425400 91.936800 157.034000
2 182.913900 73.920100 171.376800
3 209.486000 124.569000 201.763100
4 120.792700 179.999800 66.936400
5 136.036200 105.715300 135.788100
6 263.442600 123.419100 50.031500
7 96.800100 179.999800 60.877900
8 192.368300 74.187700 175.043200
9 122.193600 179.999800 95.116700
10 153.830000 51.521500 153.956100
11 78.171500 179.999800 55.950100
12 192.578600 46.921800 192.717200
13 146.889200 87.777700 177.356800
14 250.122400 45.836900 74.932000
15 166.787400 126.030100 135.770900
16 166.251700 58.646800 180.566500
17 187.409300 59.606500 159.360800
18 295.711000 108.521600 118.040200
19 259.773300 132.902700 63.028200
20 237.665800 111.029500 76.838800
21 67.070400 179.999800 97.972900
22 131.668000 179.999800 89.037600
