1 , 2 , 18 , 18 , 1 , 1 
1 , 2 , 18 , 18 , 1 , 2 
1 , 2 , 18 , 18 , 1 , 3 
1 , 2 , 18 , 18 , 1 , 4 
1 , 2 , 18 , 18 , 2 , 1 
1 , 2 , 18 , 18 , 2 , 2 
1 , 2 , 18 , 18 , 2 , 3 
1 , 2 , 18 , 18 , 2 , 4 
1 , 2 , 18 , 18 , 3 , 1 
1 , 2 , 18 , 18 , 3 , 2 
1 , 2 , 18 , 18 , 3 , 3 
1 , 2 , 18 , 18 , 3 , 4 
1 , 2 , 18 , 18 , 4 , 1 
1 , 2 , 18 , 18 , 4 , 2 
1 , 2 , 18 , 18 , 4 , 3 
1 , 2 , 18 , 18 , 4 , 4 
1 , 2 , 18 , 19 , 1 , 3 
1 , 2 , 18 , 19 , 1 , 4 
1 , 2 , 18 , 19 , 2 , 3 
1 , 2 , 18 , 19 , 2 , 4 
1 , 2 , 18 , 19 , 3 , 3 
1 , 2 , 18 , 19 , 3 , 4 
1 , 2 , 18 , 19 , 4 , 3 
1 , 2 , 18 , 19 , 4 , 4 
1 , 2 , 18 , 19 , 1 , 2 
1 , 2 , 18 , 19 , 2 , 2 
1 , 2 , 18 , 19 , 3 , 2 
1 , 2 , 18 , 19 , 4 , 2 
1 , 2 , 18 , 19 , 1 , 1 
1 , 2 , 18 , 19 , 2 , 1 
1 , 2 , 18 , 19 , 3 , 1 
1 , 2 , 18 , 19 , 4 , 1 
